name,brand,category,subcategory,full_description,rating,base_price,currency,discount_percentage
Apple Smartphone Series 110,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,11484,INR,15
Dell Laptop Series 250,Dell,Electronics,Laptops,"Dell Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,112488,INR,15
Sony Headphone Series 397,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,21326,INR,20
Samsung Smartwatche Series 652,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,28281,INR,20
Apple Tablet Series 845,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,12556,INR,25
Realme Smartphone Series 434,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,53473,INR,15
ASUS Laptop Series 216,ASUS,Electronics,Laptops,"ASUS Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,45945,INR,15
Sony Headphone Series 482,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,11033,INR,5
Noise Smartwatche Series 121,Noise,Electronics,Smartwatches,"Noise Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.8,39981,INR,5
Samsung Tablet Series 168,Samsung,Electronics,Tablets,"Samsung Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,64807,INR,10
Xiaomi Smartphone Series 597,Xiaomi,Electronics,Smartphones,"Xiaomi Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,81142,INR,10
HP Laptop Series 320,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,84497,INR,5
Sony Headphone Series 409,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,12760,INR,25
Samsung Smartwatche Series 719,Samsung,Electronics,Smartwatches,"Samsung Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.2,4620,INR,10
Lenovo Tablet Series 260,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,53358,INR,25
Apple Smartphone Series 644,Apple,Electronics,Smartphones,"Apple Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,80929,INR,15
HP Laptop Series 368,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,65365,INR,20
Sony Headphone Series 277,Sony,Electronics,Headphones,"Sony Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.3,12594,INR,15
Apple Smartwatche Series 792,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,31035,INR,5
Lenovo Tablet Series 361,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.4,18113,INR,20
OnePlus Smartphone Series 649,OnePlus,Electronics,Smartphones,"OnePlus Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.6,89585,INR,10
Lenovo Laptop Series 307,Lenovo,Electronics,Laptops,"Lenovo Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.5,59911,INR,20
JBL Headphone Series 429,JBL,Electronics,Headphones,"JBL Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",3.9,22087,INR,5
Apple Smartwatche Series 335,Apple,Electronics,Smartwatches,"Apple Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.1,36681,INR,5
Lenovo Tablet Series 640,Lenovo,Electronics,Tablets,"Lenovo Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,46431,INR,5
Realme Smartphone Series 863,Realme,Electronics,Smartphones,"Realme Smartphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,17347,INR,15
HP Laptop Series 863,HP,Electronics,Laptops,"HP Laptop with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,36133,INR,20
Boat Headphone Series 237,Boat,Electronics,Headphones,"Boat Headphone with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.7,16018,INR,20
Amazfit Smartwatche Series 751,Amazfit,Electronics,Smartwatches,"Amazfit Smartwatche with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.9,8290,INR,15
Apple Tablet Series 822,Apple,Electronics,Tablets,"Apple Tablet with advanced performance features, premium build quality, reliable battery life and optimized software experience. Designed for everyday productivity and entertainment usage.",4.0,23542,INR,5
